country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Kenya,2018,uniqueid_3218,Urban,Yes,1,20,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Kenya,2018,uniqueid_4987,Rural,No,3,50,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_3668,Rural,Yes,4,27,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1833,Rural,Yes,6,49,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_324,Rural,Yes,5,65,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_944,Rural,Yes,3,20,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_885,Rural,Yes,5,68,Male,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_1811,Rural,Yes,5,29,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_567,Rural,Yes,4,20,Female,Parent,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_6235,Urban,Yes,2,22,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_7310,Urban,Yes,5,21,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_7994,Urban,Yes,4,28,Female,Spouse,Married/Living together,Primary education,Informally employed
Uganda,2018,uniqueid_1882,Urban,Yes,1,26,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Rwanda,2016,uniqueid_2366,Rural,Yes,2,53,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,uniqueid_8485,Rural,Yes,3,43,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_7014,Rural,Yes,5,38,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_7499,Rural,Yes,7,43,Female,Spouse,Divorced/Seperated,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_3901,Urban,Yes,3,47,Female,Head of Household,Single/Never Married,Tertiary education,Self employed
Rwanda,2016,uniqueid_3771,Rural,Yes,4,25,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_3899,Urban,No,8,58,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_2152,Rural,Yes,5,62,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_383,Urban,No,2,49,Female,Spouse,Single/Never Married,Primary education,Self employed
Uganda,2018,uniqueid_19,Urban,Yes,4,20,Male,Other relative,Single/Never Married,Secondary education,Other Income
Tanzania,2017,uniqueid_5038,Rural,No,2,22,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_2014,Urban,Yes,5,48,Female,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_2995,Rural,Yes,3,25,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Uganda,2018,uniqueid_1543,Rural,Yes,7,36,Male,Head of Household,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_393,Rural,No,7,35,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_6446,Rural,Yes,5,53,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_1147,Rural,Yes,2,26,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Uganda,2018,uniqueid_1161,Rural,Yes,4,40,Female,Head of Household,Single/Never Married,Primary education,Other Income
Rwanda,2016,uniqueid_7269,Rural,No,4,79,Female,Child,Widowed,No formal education,Remittance Dependent
Kenya,2018,uniqueid_491,Rural,Yes,2,45,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_2549,Rural,Yes,1,30,Male,Head of Household,Divorced/Seperated,Tertiary education,Self employed
Rwanda,2016,uniqueid_141,Rural,No,4,32,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_2873,Rural,Yes,2,50,Female,Child,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_3562,Urban,Yes,5,40,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_7024,Rural,Yes,3,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_6073,Urban,Yes,2,33,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_5931,Urban,Yes,2,47,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_4110,Rural,No,1,77,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_2877,Rural,Yes,3,31,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_2247,Urban,No,2,75,Female,Spouse,Single/Never Married,No formal education,Self employed
Rwanda,2016,uniqueid_5899,Rural,Yes,7,40,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_4472,Urban,Yes,2,25,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_2933,Urban,Yes,2,18,Male,Child,Divorced/Seperated,Tertiary education,Informally employed
Rwanda,2016,uniqueid_7043,Rural,Yes,5,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_126,Rural,Yes,1,24,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Tanzania,2017,uniqueid_3313,Urban,Yes,1,55,Male,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_1328,Rural,No,7,16,Male,Parent,Divorced/Seperated,Secondary education,No Income
Tanzania,2017,uniqueid_587,Urban,Yes,3,54,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_922,Urban,Yes,2,36,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_3259,Urban,Yes,4,39,Male,Other relative,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_4201,Urban,No,2,45,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_877,Rural,Yes,1,25,Male,Head of Household,Divorced/Seperated,Tertiary education,Informally employed
Kenya,2018,uniqueid_4931,Rural,Yes,4,55,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_1536,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_6418,Rural,No,2,30,Female,Spouse,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_1237,Rural,Yes,3,19,Male,Child,Single/Never Married,No formal education,Informally employed
Tanzania,2017,uniqueid_2346,Urban,Yes,2,33,Male,Head of Household,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_2978,Rural,No,2,93,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_3030,Rural,Yes,4,34,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_5275,Rural,No,3,80,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_2586,Rural,Yes,6,42,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_6337,Rural,No,1,70,Female,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_1391,Rural,Yes,5,17,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Uganda,2018,uniqueid_1276,Rural,Yes,9,45,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_1491,Rural,Yes,7,21,Female,Parent,Single/Never Married,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_3731,Rural,Yes,3,21,Female,Parent,Divorced/Seperated,Secondary education,Informally employed
Rwanda,2016,uniqueid_2048,Rural,Yes,6,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_618,Rural,Yes,2,24,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_2344,Rural,Yes,1,50,Female,Head of Household,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_936,Urban,No,2,37,Female,Spouse,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1277,Urban,No,1,40,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_4726,Urban,Yes,1,28,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Tanzania,2017,uniqueid_5210,Urban,Yes,1,45,Female,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,uniqueid_2160,Urban,No,2,18,Male,Parent,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_3305,Urban,Yes,2,32,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
Rwanda,2016,uniqueid_8140,Rural,Yes,5,18,Female,Child,Single/Never Married,Primary education,Informally employed
Uganda,2018,uniqueid_781,Rural,No,2,80,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1180,Urban,Yes,2,27,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Rwanda,2016,uniqueid_7223,Urban,Yes,4,50,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_602,Urban,Yes,1,24,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,uniqueid_5404,Urban,Yes,6,24,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_6754,Rural,Yes,2,75,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_4324,Rural,Yes,2,33,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,uniqueid_3697,Rural,Yes,6,39,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_7649,Urban,Yes,1,30,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_4250,Rural,Yes,5,33,Female,Head of Household,Widowed,Primary education,Self employed
Rwanda,2016,uniqueid_1732,Rural,Yes,3,24,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_6087,Rural,Yes,4,75,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Tanzania,2017,uniqueid_5224,Urban,Yes,1,29,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1527,Rural,Yes,6,70,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_1885,Urban,No,2,32,Female,Spouse,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_562,Rural,Yes,4,32,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_6554,Rural,No,5,30,Female,Spouse,Married/Living together,Primary education,Dont Know/Refuse to answer
Tanzania,2017,uniqueid_2705,Rural,No,1,34,Female,Head of Household,Single/Never Married,Primary education,Self employed
Uganda,2018,uniqueid_1720,Rural,Yes,4,27,Female,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_827,Urban,No,4,49,Female,Head of Household,Married/Living together,Primary education,Other Income
Tanzania,2017,uniqueid_4319,Urban,No,1,32,Female,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_4575,Rural,No,5,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_4441,Rural,Yes,6,27,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_3576,Urban,Yes,1,23,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_2069,Rural,Yes,5,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2027,Urban,No,4,48,Female,Head of Household,Widowed,No formal education,Self employed
Uganda,2018,uniqueid_1330,Rural,No,7,25,Female,Parent,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_3703,Rural,Yes,1,29,Female,Head of Household,Divorced/Seperated,Tertiary education,Other Income
Kenya,2018,uniqueid_5034,Urban,Yes,1,33,Male,Head of Household,Dont know,Primary education,Self employed
Tanzania,2017,uniqueid_2796,Rural,Yes,1,31,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Tanzania,2017,uniqueid_5895,Urban,No,4,19,Male,Child,Divorced/Seperated,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_5563,Urban,Yes,2,27,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_152,Urban,Yes,2,51,Female,Head of Household,Widowed,Primary education,Government Dependent
Kenya,2018,uniqueid_3828,Rural,Yes,6,39,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_7405,Urban,Yes,6,45,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_5404,Urban,Yes,1,48,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Government
Rwanda,2016,uniqueid_3550,Rural,Yes,4,31,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Tanzania,2017,uniqueid_1976,Rural,Yes,1,30,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_5166,Urban,Yes,8,20,Female,Other non-relatives,Single/Never Married,Secondary education,Informally employed
Tanzania,2017,uniqueid_657,Urban,Yes,4,28,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_4805,Urban,Yes,1,60,Female,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_3592,Rural,Yes,7,46,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_544,Rural,Yes,7,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_8321,Rural,No,7,18,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_5730,Rural,Yes,2,77,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_3509,Urban,No,6,76,Female,Other relative,Married/Living together,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_570,Rural,Yes,1,63,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_5204,Rural,Yes,5,29,Female,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_1205,Rural,Yes,5,40,Female,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_3667,Urban,Yes,2,27,Female,Spouse,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_3578,Urban,Yes,3,49,Female,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_648,Rural,Yes,5,37,Female,Other relative,Single/Never Married,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_6161,Rural,Yes,7,40,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_6468,Rural,Yes,2,42,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_6059,Rural,No,5,60,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_2721,Rural,No,1,55,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_2173,Rural,Yes,4,45,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_86,Urban,Yes,2,27,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_2486,Urban,Yes,1,42,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_4531,Rural,Yes,5,58,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_3323,Rural,No,1,28,Female,Head of Household,Widowed,Primary education,Self employed
Uganda,2018,uniqueid_835,Rural,Yes,3,50,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_2186,Rural,No,2,30,Female,Spouse,Single/Never Married,No formal education,Self employed
Rwanda,2016,uniqueid_2605,Rural,Yes,5,39,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_181,Rural,Yes,3,72,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_4769,Rural,No,6,63,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_3816,Urban,No,3,65,Female,Head of Household,Widowed,No formal education,Self employed
Tanzania,2017,uniqueid_1795,Urban,No,2,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_3248,Urban,Yes,2,35,Female,Spouse,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_2384,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_2769,Rural,Yes,6,44,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_3479,Rural,No,6,80,Male,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_8327,Rural,Yes,6,37,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_6864,Urban,Yes,5,78,Male,Head of Household,Married/Living together,Primary education,Government Dependent
Tanzania,2017,uniqueid_6346,Rural,Yes,6,33,Female,Other relative,Divorced/Seperated,Primary education,Self employed
Kenya,2018,uniqueid_2272,Rural,Yes,4,30,Female,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_1448,Urban,Yes,5,36,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,uniqueid_2633,Rural,Yes,8,40,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1453,Urban,Yes,3,99,Female,Parent,Widowed,No formal education,Remittance Dependent
Uganda,2018,uniqueid_885,Rural,No,2,65,Female,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_1320,Rural,Yes,1,25,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_2374,Rural,No,12,50,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_121,Rural,Yes,3,48,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_8238,Rural,No,2,56,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_2940,Rural,Yes,5,27,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_1625,Urban,Yes,6,38,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Uganda,2018,uniqueid_1127,Rural,Yes,5,52,Female,Spouse,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_304,Urban,No,2,72,Male,Head of Household,Single/Never Married,No formal education,Self employed
Uganda,2018,uniqueid_297,Urban,Yes,3,26,Female,Spouse,Married/Living together,Tertiary education,No Income
Kenya,2018,uniqueid_2665,Urban,Yes,9,45,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_2805,Rural,No,3,62,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_3319,Urban,Yes,3,57,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_841,Rural,Yes,4,54,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_6206,Urban,Yes,4,35,Female,Spouse,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_2301,Rural,Yes,4,22,Male,Child,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_3856,Rural,Yes,3,25,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_756,Urban,No,3,82,Female,Spouse,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_165,Rural,Yes,5,59,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_382,Rural,Yes,1,42,Male,Head of Household,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_1360,Rural,Yes,2,46,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,uniqueid_6331,Rural,Yes,3,45,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_5293,Urban,Yes,3,17,Male,Other relative,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_4159,Rural,No,2,27,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Tanzania,2017,uniqueid_5182,Urban,No,2,27,Female,Spouse,Single/Never Married,Primary education,Informally employed
Uganda,2018,uniqueid_986,Rural,Yes,8,38,Male,Head of Household,Married/Living together,Secondary education,Self employed
Tanzania,2017,uniqueid_5461,Rural,Yes,2,35,Female,Head of Household,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_671,Rural,No,5,32,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_3182,Rural,Yes,4,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_5174,Urban,Yes,2,54,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_1817,Rural,Yes,3,69,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1740,Urban,No,5,18,Female,Other relative,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_8226,Rural,Yes,6,21,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_1987,Rural,Yes,5,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_7177,Rural,Yes,5,50,Female,Spouse,Married/Living together,No formal education,Self employed
Tanzania,2017,uniqueid_5768,Urban,Yes,2,25,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1070,Rural,Yes,5,60,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,uniqueid_6952,Rural,Yes,6,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_6063,Urban,No,2,24,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_75,Rural,Yes,5,22,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_1308,Urban,Yes,4,30,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,uniqueid_1710,Rural,Yes,4,32,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
